image_path,insertion_auc,deletion_auc,highest_confidence,sensitive_insertion_auc,sensitive_deletion_auc,sensitive_highest_confidence,point_game_box,point_game_mask
000000005060.jpg,0.20648016035556793,0.1229172945022583,0.52734375,0.20648016035556793,0.1229172945022583,0.52734375,0.0,0.0
000000005503.jpg,0.6133482456207275,0.42780739068984985,0.91015625,0.6133482456207275,0.42780739068984985,0.91015625,0.0,0.0
000000007088.jpg,0.8859405517578125,0.7489042282104492,0.9765625,0.8859405517578125,0.7489042282104492,0.9765625,1.0,0.0
000000007386.jpg,0.15327978134155273,0.1127905547618866,0.60546875,,,,1.0,0.0
000000007818.jpg,0.6953086853027344,0.10210490226745605,0.90625,0.6953086853027344,0.10210490226745605,0.90625,1.0,1.0
000000015272.jpg,0.9678955078125,0.22252655029296875,0.98828125,0.9678955078125,0.22252655029296875,0.98828125,0.0,0.0
000000018737.jpg,0.03560301661491394,0.07813558960333467,0.484375,,,,0.0,0.0
000000027696.jpg,0.1882428526878357,0.014322489500045776,0.6796875,,,,0.0,0.0
000000037740.jpg,0.040233612060546875,0.05587172508239746,0.33203125,,,,1.0,1.0
000000042276.jpg,0.16958139836788177,0.004853883758187294,0.50390625,,,,1.0,1.0
000000045728.jpg,0.14325761795043945,0.04845404624938965,0.7578125,,,,0.0,0.0
000000047112.jpg,0.6564719676971436,0.44544517993927,0.96875,0.6564719676971436,0.44544517993927,0.96875,1.0,0.0
000000050811.jpg,0.3665790557861328,0.3925952911376953,0.67578125,0.3665790557861328,0.3925952911376953,0.67578125,0.0,0.0
000000058655.jpg,0.3269152045249939,0.054682787507772446,0.62890625,,,,0.0,0.0
000000060090.jpg,0.969818115234375,0.8729248046875,1.0,,,,0.0,0.0
000000062554.jpg,0.1465766429901123,0.08039616048336029,0.5234375,,,,1.0,1.0
000000063602.jpg,0.22591403871774673,0.05596074461936951,0.51953125,,,,0.0,0.0
000000065736.jpg,0.238446444272995,0.07326048985123634,0.51953125,,,,0.0,0.0
000000066886.jpg,0.0198441743850708,0.020980119705200195,0.0478515625,,,,1.0,1.0
000000076417.jpg,0.491119384765625,0.5058441162109375,0.74609375,,,,1.0,1.0
000000076731.jpg,0.08171093463897705,0.012987613677978516,0.322265625,,,,0.0,0.0
000000077595.jpg,0.6097662448883057,0.16977350041270256,0.765625,0.6097662448883057,0.16977350041270256,0.765625,1.0,1.0
000000080153.jpg,0.6636676788330078,0.8944473266601562,0.96875,0.6636676788330078,0.8944473266601562,0.96875,0.0,0.0
000000080949.jpg,0.942291259765625,0.986236572265625,1.0,,,,1.0,1.0
000000084170.jpg,0.757827639579773,0.5049260854721069,0.9765625,0.757827639579773,0.5049260854721069,0.9765625,0.0,0.0
000000084492.jpg,0.09367895126342773,0.20648503303527832,0.5390625,,,,0.0,0.0
000000085195.jpg,0.46779441833496094,0.5413936972618103,0.84375,0.46779441833496094,0.5413936972618103,0.84375,0.0,0.0
000000085665.jpg,0.45455044507980347,0.4098445475101471,0.89453125,0.45455044507980347,0.4098445475101471,0.89453125,1.0,0.0
000000085911.jpg,0.08383483067154884,0.07282926142215729,0.703125,,,,0.0,0.0
000000086956.jpg,0.022744059562683105,0.000539170578122139,0.099609375,,,,1.0,1.0
000000088432.jpg,0.997772216796875,0.997161865234375,1.0,,,,0.0,0.0
000000090631.jpg,0.950225830078125,0.949920654296875,0.984375,,,,0.0,0.0
000000091619.jpg,0.998870849609375,0.882843017578125,1.0,,,,0.0,0.0
000000106330.jpg,0.9981689453125,0.861236572265625,1.0,,,,1.0,1.0
000000106757.jpg,0.8760401010513306,0.4874265640974045,0.9921875,0.8760401010513306,0.4874265640974045,0.9921875,1.0,1.0
000000106912.jpg,0.05718421936035156,0.11918830871582031,0.212890625,,,,0.0,0.0
000000110282.jpg,0.749755859375,0.737091064453125,0.89453125,,,,0.0,0.0
000000110999.jpg,0.1679840087890625,0.21211624145507812,0.6875,,,,1.0,1.0
000000111951.jpg,0.26032161712646484,0.021874696016311646,0.703125,,,,1.0,0.0
000000112298.jpg,0.03685211017727852,0.06535795470699668,0.416015625,0.03685211017727852,0.06535795470699668,0.416015625,0.0,0.0
000000114770.jpg,0.22298365831375122,0.05958593124523759,0.62890625,0.22298365831375122,0.05958593124523759,0.62890625,1.0,1.0
000000115118.jpg,0.2567836195230484,0.12076643109321594,0.546875,,,,0.0,0.0
000000117719.jpg,0.001744583249092102,0.0023300647735595703,0.0091552734375,,,,1.0,1.0
000000118515.jpg,0.5009241104125977,0.24129056930541992,0.95703125,0.5009241104125977,0.24129056930541992,0.95703125,1.0,1.0
000000119677.jpg,0.07014060020446777,0.035402883775532246,0.32421875,,,,0.0,0.0
000000128051.jpg,0.31444793939590454,0.17916108667850494,0.5625,,,,1.0,1.0
000000128658.jpg,0.952484130859375,0.2251596450805664,0.9765625,0.952484130859375,0.2251596450805664,0.9765625,1.0,1.0
000000129322.jpg,0.8348388671875,0.46710205078125,0.96484375,,,,0.0,0.0
000000130826.jpg,0.8838653564453125,0.793304443359375,0.98046875,,,,1.0,0.0
000000131431.jpg,0.18762707710266113,0.10612678527832031,0.56640625,,,,0.0,0.0
000000131938.jpg,0.3226549029350281,0.33037620782852173,0.72265625,0.3226549029350281,0.33037620782852173,0.72265625,0.0,0.0
000000138492.jpg,1.0,1.0,1.0,,,,1.0,1.0
000000140987.jpg,0.11930826306343079,0.03003513813018799,0.1962890625,,,,1.0,0.0
000000147725.jpg,0.9492073059082031,0.7461585998535156,1.0,0.9492073059082031,0.7461585998535156,1.0,0.0,0.0
000000156372.jpg,0.11033979430794716,0.012081456370651722,0.294921875,,,,1.0,1.0
000000159282.jpg,0.280007503926754,0.2540159970521927,0.51953125,,,,0.0,0.0
000000161008.jpg,0.6169767379760742,0.3425273895263672,0.859375,0.6169767379760742,0.3425273895263672,0.859375,1.0,0.0
000000161875.jpg,0.008976932615041733,0.10091233253479004,0.1787109375,,,,0.0,0.0
000000163951.jpg,0.17357763648033142,0.0022387392818927765,0.64453125,,,,1.0,1.0
000000179141.jpg,0.9222412109375,0.92559814453125,0.9921875,,,,1.0,1.0
000000187055.jpg,1.0,0.99993896484375,1.0,,,,0.0,0.0
000000190236.jpg,0.3745555877685547,0.011907786130905151,0.7421875,,,,1.0,1.0
000000200421.jpg,0.061195772141218185,0.006393330171704292,0.10888671875,,,,1.0,1.0
000000201646.jpg,0.029646312817931175,0.04021383821964264,0.07421875,,,,0.0,0.0
000000203294.jpg,0.9483795166015625,0.6060943603515625,0.984375,0.9483795166015625,0.6060943603515625,0.984375,1.0,1.0
000000205647.jpg,0.01917953509837389,0.014644460752606392,0.0284423828125,,,,1.0,1.0
000000208208.jpg,0.1905364990234375,0.15655517578125,0.33203125,,,,1.0,1.0
000000208901.jpg,0.5343208312988281,0.31475830078125,0.71875,0.5343208312988281,0.31475830078125,0.71875,0.0,0.0
000000210030.jpg,0.055115699768066406,0.39730167388916016,0.23828125,,,,1.0,1.0
000000210388.jpg,0.014851704239845276,0.000128971878439188,0.076171875,,,,1.0,1.0
000000212800.jpg,0.515588641166687,0.31953537464141846,0.87109375,0.515588641166687,0.31953537464141846,0.87109375,1.0,1.0
000000213255.jpg,0.37387795746326447,0.11205590888857841,0.7109375,0.37387795746326447,0.11205590888857841,0.7109375,1.0,1.0
000000216277.jpg,0.7905559539794922,0.41698169708251953,1.0,0.7905559539794922,0.41698169708251953,1.0,0.0,0.0
000000216636.jpg,0.1225475762039423,0.08249709475785494,0.32421875,,,,1.0,1.0
000000220732.jpg,0.4436952667310834,0.009355859830975533,0.7734375,,,,1.0,1.0
000000223090.jpg,0.622283935546875,0.08721419516950846,0.765625,0.622283935546875,0.08721419516950846,0.765625,1.0,0.0
000000227686.jpg,0.6060452237725258,0.6347492709755898,0.95703125,0.6060452237725258,0.6347492709755898,0.95703125,0.0,0.0
000000229659.jpg,0.238595899194479,0.027087435126304626,0.67578125,0.238595899194479,0.027087435126304626,0.67578125,1.0,1.0
000000231549.jpg,0.2585625648498535,0.11789554636925459,0.65625,0.2585625648498535,0.11789554636925459,0.65625,0.0,0.0
000000232088.jpg,0.07855415344238281,0.06493949890136719,0.1259765625,,,,1.0,1.0
000000232646.jpg,0.99884033203125,0.830169677734375,1.0,,,,1.0,1.0
000000235057.jpg,0.99993896484375,1.0,1.0,,,,0.0,0.0
000000245576.jpg,0.9199981689453125,0.3220634460449219,1.0,0.9199981689453125,0.3220634460449219,1.0,1.0,0.0
000000246436.jpg,0.979400634765625,0.973602294921875,0.99609375,,,,0.0,0.0
000000248284.jpg,0.1651926040649414,0.0116499662399292,0.427734375,,,,1.0,1.0
000000250137.jpg,0.8349685668945312,0.3698406219482422,0.97265625,,,,0.0,0.0
000000259690.jpg,0.95556640625,0.19845962524414062,0.98828125,0.95556640625,0.19845962524414062,0.98828125,1.0,1.0
000000261888.jpg,0.00027560722082853317,0.00026077538495883346,0.003662109375,,,,0.0,0.0
000000261982.jpg,0.8273468017578125,0.7418580055236816,0.9921875,0.8273468017578125,0.7418580055236816,0.9921875,1.0,1.0
000000268831.jpg,0.08359622955322266,0.029816627502441406,0.306640625,,,,0.0,0.0
000000269121.jpg,0.07463878393173218,0.04821139574050903,0.390625,,,,0.0,0.0
000000270677.jpg,0.9386978149414062,0.15992498397827148,1.0,0.9386978149414062,0.15992498397827148,1.0,0.0,0.0
000000271402.jpg,0.917755126953125,0.634124755859375,0.96484375,,,,1.0,1.0
000000275392.jpg,0.9212646484375,0.9178466796875,0.99609375,,,,1.0,1.0
000000277020.jpg,0.714111328125,0.7855224609375,0.86328125,,,,0.0,0.0
000000278463.jpg,0.302209235727787,0.002246827818453312,0.640625,,,,0.0,0.0
000000278848.jpg,0.4064081907272339,0.38232654333114624,0.69140625,0.4064081907272339,0.38232654333114624,0.69140625,0.0,0.0
000000280325.jpg,0.9204940795898438,0.47035980224609375,1.0,0.9204940795898438,0.47035980224609375,1.0,0.0,0.0
000000284279.jpg,0.00040890276432037354,0.0004869326949119568,0.00131988525390625,,,,0.0,0.0
000000290619.jpg,0.917877197265625,0.8115768432617188,0.99609375,0.917877197265625,0.8115768432617188,0.99609375,1.0,1.0
000000297353.jpg,0.29741960763931274,0.26335208863019943,0.76953125,0.29741960763931274,0.26335208863019943,0.76953125,0.0,0.0
000000298396.jpg,0.8462677001953125,0.394073486328125,0.984375,0.8462677001953125,0.394073486328125,0.984375,1.0,1.0
000000298738.jpg,0.38736724853515625,0.259307861328125,0.55859375,,,,1.0,1.0
000000305695.jpg,0.06097196787595749,0.0010277656838297844,0.23046875,,,,0.0,0.0
000000308394.jpg,0.03276538848876953,0.08659839630126953,0.30078125,,,,1.0,1.0
000000312213.jpg,0.34606677293777466,0.12344961985945702,0.57421875,,,,1.0,1.0
000000315257.jpg,0.43881654739379883,0.2837255299091339,0.734375,,,,0.0,0.0
000000320696.jpg,0.99993896484375,1.0,1.0,,,,0.0,0.0
000000328337.jpg,1.0,1.0,1.0,,,,0.0,0.0
000000335177.jpg,0.5083960294723511,0.006551869213581085,0.6484375,0.5083960294723511,0.006551869213581085,0.6484375,1.0,1.0
000000342971.jpg,0.18091848492622375,0.09015971422195435,0.5625,0.18091848492622375,0.09015971422195435,0.5625,0.0,0.0
000000347174.jpg,0.5909423828125,0.645355224609375,0.82421875,0.5909423828125,0.645355224609375,0.82421875,1.0,0.0
000000348488.jpg,0.12327402830123901,0.07293608784675598,0.244140625,,,,0.0,0.0
000000349594.jpg,0.5452766418457031,0.2066650390625,0.796875,0.5452766418457031,0.2066650390625,0.796875,0.0,0.0
000000350405.jpg,0.9329071044921875,0.779266357421875,1.0,,,,0.0,0.0
000000351362.jpg,0.21068024635314941,0.02955666184425354,0.62890625,,,,0.0,0.0
000000351530.jpg,0.310598224401474,0.008037377148866653,0.61328125,,,,1.0,1.0
000000353970.jpg,0.3937873840332031,0.2196340560913086,0.8046875,,,,1.0,1.0
000000355257.jpg,0.01887001097202301,0.003363143652677536,0.060302734375,,,,0.0,0.0
