rank,image_path,image_id,select_category,mask_pixels,mask_fraction
1,000000003255.jpg,3255,skis,52,0.00022382920110192836
2,000000072795.jpg,72795,baseball bat,84,0.0002734375
3,000000442746.jpg,442746,frisbee,94,0.0005013333333333333
4,000000368961.jpg,368961,sports ball,104,0.0003385416666666667
5,000000452515.jpg,452515,sports ball,134,0.0011964285714285714
6,000000393056.jpg,393056,surfboard,224,0.0007291666666666667
7,000000177065.jpg,177065,sports ball,240,0.0006648936170212766
8,000000084031.jpg,84031,baseball bat,274,0.0010026346604215457
9,000000084477.jpg,84477,person,277,0.0010136124121779859
10,000000080022.jpg,80022,sports ball,329,0.001206719483568075
11,000000092091.jpg,92091,toothbrush,399,0.001298828125
12,000000560911.jpg,560911,cell phone,426,0.001383835758835759
13,000000074092.jpg,74092,tennis racket,444,0.002674698795180723
14,000000098853.jpg,98853,sports ball,461,0.0016869145199063231
15,000000384949.jpg,384949,clock,476,0.0016274617067833699
16,000000509403.jpg,509403,frisbee,502,0.001836943793911007
17,000000019042.jpg,19042,bird,509,0.002143699460916442
18,000000252507.jpg,252507,skis,547,0.0029173333333333334
19,000000269316.jpg,269316,frisbee,587,0.002142961448598131
20,000000373315.jpg,373315,skateboard,588,0.0019261006289308176
21,000000263594.jpg,263594,bird,591,0.0031023622047244093
22,000000463174.jpg,463174,sports ball,607,0.002221165105386417
23,000000304404.jpg,304404,baseball bat,608,0.0022196261682242992
24,000000133244.jpg,133244,tennis racket,621,0.0027028203342618386
25,000000496597.jpg,496597,boat,664,0.0021614583333333334
26,000000281409.jpg,281409,baseball bat,709,0.0025944086651053864
27,000000504589.jpg,504589,frisbee,813,0.0029749707259953163
28,000000196141.jpg,196141,baseball bat,866,0.003154137529137529
29,000000090003.jpg,90003,frisbee,879,0.002861328125
30,000000038210.jpg,38210,skis,885,0.003230870327102804
31,000000191614.jpg,191614,person,1003,0.002677923021060276
32,000000157756.jpg,157756,clock,1094,0.0035611979166666665
33,000000414340.jpg,414340,clock,1148,0.004200819672131147
34,000000163118.jpg,163118,frisbee,1176,0.004313380281690141
35,000000259597.jpg,259597,cell phone,1237,0.006194911858974359
36,000000157365.jpg,157365,skateboard,1365,0.004994877049180328
37,000000395180.jpg,395180,boat,1368,0.004443866943866944
38,000000389566.jpg,389566,car,1401,0.0051266100702576116
39,000000427649.jpg,427649,boat,1690,0.005501302083333334
40,000000424551.jpg,424551,skis,1740,0.0056640625
41,000000183127.jpg,183127,person,1762,0.006432535046728972
42,000000032081.jpg,32081,tennis racket,1831,0.009765333333333334
43,000000430048.jpg,430048,clock,1911,0.010192
44,000000492968.jpg,492968,snowboard,1911,0.007025735294117647
45,000000459809.jpg,459809,kite,1958,0.007148072429906542
46,000000474854.jpg,474854,chair,1970,0.007259728773584905
47,000000007278.jpg,7278,surfboard,2002,0.006489885892116183
48,000000076211.jpg,76211,clock,2024,0.006325
49,000000128112.jpg,128112,person,2121,0.007797794117647059
50,000000161925.jpg,161925,pizza,2182,0.007102864583333333
