method,metric,mean,standard_error,n,evaluation_gpu_seconds_per_sample
Ours,insertion_auc,0.9420671337175732,0.007645476243815725,250,12.625301921844482
Ours,deletion_auc,0.18359945124622065,0.010114661375437945,250,12.625301921844482
Ours,highest_confidence,0.9886010938882828,0.0035375792356387072,250,12.625301921844482
Ours,sensitive_insertion_auc,0.954947374165344,0.005281108744984058,244,12.625301921844482
Ours,sensitive_deletion_auc,0.18462428504034306,0.010289251780408838,244,12.625301921844482
Ours,sensitive_highest_confidence,0.9935496486112719,0.0020097352177883758,244,12.625301921844482
Ours,pointing_game_box,0.756,0.027217995464553113,250,12.625301921844482
Ours,pointing_game_mask,0.596,0.031096688184825357,250,12.625301921844482
Input-level,insertion_auc,0.9441096304101853,0.007265864602393723,250,22.15379497909546
Input-level,deletion_auc,0.2135363767922691,0.011471479599501662,250,22.15379497909546
Input-level,highest_confidence,0.9884474122524262,0.0030158886046591426,250,22.15379497909546
Input-level,sensitive_insertion_auc,0.9555415397218928,0.005474645184730245,243,22.15379497909546
Input-level,sensitive_deletion_auc,0.2114037744022284,0.01149060770681294,243,22.15379497909546
Input-level,sensitive_highest_confidence,0.9929569368499788,0.00225113366157037,243,22.15379497909546
Input-level,pointing_game_box,0.78,0.02625179282460579,250,22.15379497909546
Input-level,pointing_game_mask,0.64,0.030418764025174936,250,22.15379497909546
TAM,insertion_auc,0.5106537976456148,0.023449800189157353,250,32.06839216995239
TAM,deletion_auc,0.38009580102444124,0.02400949600542664,250,32.06839216995239
TAM,highest_confidence,0.6814274215698242,0.021306091744555423,250,32.06839216995239
TAM,sensitive_insertion_auc,0.6287795354699484,0.026279748533924327,80,32.06839216995239
TAM,sensitive_deletion_auc,0.3434862584763323,0.02967585924881431,80,32.06839216995239
TAM,sensitive_highest_confidence,0.860302734375,0.01595095716067053,80,32.06839216995239
TAM,pointing_game_box,0.404,0.03109668818482536,250,32.06839216995239
TAM,pointing_game_mask,0.332,0.029844039047465857,250,32.06839216995239
LLaVA-CAM,insertion_auc,0.45677068217067973,0.023445294917799984,250,33.471088848114015
LLaVA-CAM,deletion_auc,0.4519680963494739,0.023481953138577434,250,33.471088848114015
LLaVA-CAM,highest_confidence,0.6678398962020874,0.022214282500066327,250,33.471088848114015
LLaVA-CAM,sensitive_insertion_auc,0.5251022780605126,0.027502202577957442,80,33.471088848114015
LLaVA-CAM,sensitive_deletion_auc,0.4691415118610166,0.029613189296509093,80,33.471088848114015
LLaVA-CAM,sensitive_highest_confidence,0.865966796875,0.0162565579873621,80,33.471088848114015
LLaVA-CAM,pointing_game_box,0.236,0.02690933759495385,250,33.471088848114015
LLaVA-CAM,pointing_game_mask,0.144,0.022249407735450245,250,33.471088848114015
EAGLE,insertion_auc,0.6688,,250,
EAGLE,deletion_auc,0.2351,,250,
EAGLE,highest_confidence,0.7771,,250,
EAGLE,sensitive_insertion_auc,0.8181,,,
EAGLE,sensitive_deletion_auc,0.1674,,,
EAGLE,sensitive_highest_confidence,0.9206,,,
EAGLE,pointing_game_box,0.504,0.031685198551199195,250,
EAGLE,pointing_game_mask,0.412,0.031191596026022821,250,
